City,Country,Latitude,Longitude
Abu Dhabi,United Arab Emirates,N24.4764,E054.3705
Abuja,Nigeria,N09.0580,E007.4891
Accra,Ghana,N05.5401,W000.2074
Addis Ababa,Ethiopia,N09.0084,E038.7575
Adelaide,Australia,S34.9286,E138.5986
Al Khartum / Khartoum,Sudan,N15.6331,E032.5330
Albuquerque,United States,N35Â°06â²39â³,W106Â°36â²36â³
Alger /Algiers,Algeria,N36.7755,E003.0597
Amman,Jordan,N34.11,E021.41
Amsterdam,Netherlands,N52.3738,E004.8910
Ankara,Turkey,N39.9439,E032.8560
Antananarivo,Madagascar,S18.9201,E047.5237
Ashgabat,Turkmenistan,N37.9509,E058.3794
Asmara,Eritrea,N15.3315,E038.9183
Astana,Kazakhstan,N51.1796,E071.4475
Asuncion,Paraguay,S25.3005,W057.6362
Athens,Greece,N37.9792,E023.7166
Baghdad,Iraq,N33.3157,E044.3922
Baguio,Philippines,N16.42,E120.60
Baku,Azerbaijan,N40.3953,E049.8822
Bamako,Mali,N12.6530,W007.9864
Bamyan,Afghanistan,N34.8215,E067.8273
Bangalore,India,N12.97,E77.59
Bangkok,Thailand,N13.7573,E100.5020
Bangui,Central African Republic,N40.3621,E018.5873
Banjul,Gambia,N13.4399,W016.6775
Beijing,China,N39.9056,E116.3958
Beirut,Lebanon,N33.8872,E035.5134
Belgrade,Serbia,N44.8048,E020.4781
Belo Horizonte,Brazil,S19.9167,W43.9345
Berlin,Germany,N52.5235,E013.4115
Bern,Switzerland,N46.9480,E007.4481
Bishkek,Kyrgyzstan,N42.8679,E074.5984
Bissau,Guinea-Bissau,N11.8598,W015.5875
Bloemfontein,South Africa,S29.116667,E026.216667
Bogota,Colombia,N04.6473,W074.0962
BrasÃ­lia,Brazil,S15.7801,W47.9292
Bratislava,Slovakia,N48.2116,E017.1547
Brazzaville,Republic of Congo,S04.2767,E015.2662
Brisbane,Australia,S27.4710,E153.0242
Brussels,Belgium,N50.8371,E004.3676
Bucharest,Romania,N44.4479,E026.0979
Budapest,Hungary,N47.4984,E019.0408
Buenos Aires,Argentina,S34.6118,W058.4173
Bujumbura,Burundi,S03.3818,E029.3622
Butwal,Nepal,N27.6866,E83.4323
Cairo,Egypt,N30.0571,E031.2272
Calgary,Canada,N51.03,E114.04
Canberra,Australia,S35.2820,E149.1286
Caracas,Venezuela,N10.4961,W066.8983
Chennai,India,N13.0827,E80.2707
Chisinau,Moldova,N47.0167,E028.8497
Colombo,Sri Lanka,N06.9155,E079.8572
Conakry,Guinea,N09.5370,W013.6785
Copenhagen,Denmark,N55.6763,E012.5681
Curitiba,Brazil,S25.4290,W49.2671
Cusco,Peru,S13.5250,W071.9722
Da Lat,Vietnam,N11.941667,E108.438333
Dakar,Senegal,N14.6953,W017.4439
Dallas,United States,N32.7767,W96.7970
Damascus,Syria,N33.5158,E036.2939
Denver,United States,N39.45,W104.52
Dhaka,Bangladesh,N23.7106,E090.3978
Dili,Timor-Leste (East Timor),S08.5662,E125.5880
Djibouti,Djibouti,N11.5806,E043.1425
Dodoma,Tanzania,S06.1670,E035.7497
Doha,Qatar,N25.2948,E051.5082
Dublin,Ireland,N53.3441,W006.2675
Dushanbe,Tajikistan,N38.5737,E068.7738
Edmonton,Canada,N53.5444,W113.4909
El Alto,Bolivia,-16.517,-68.167
Freetown,Sierra Leone,N08.4697,W013.2659
Gaborone,Botswana,S24.6570,E025.9089
Guadalajara,Mexico,N20.6666,W103.35
Guatemala City,Guatemala,N14.6248,W090.5328
Hanoi,Vietnam,N21.0341,E105.8372
Harare,Zimbabwe,S17.8227,E031.0496
Havana,Cuba,N23.1333,W082.3667
Helsinki,Finland,N60.1699,E024.9384
Ho Chi Minh City,Vietnam,N10.8231,E106.6297
Hyderabad,India,N17.37,E78.48
Islamabad,Pakistan,N33.6751,E073.0946
Jakarta,Indonesia,S06.1862,E106.8063
Jerusalem,Israel,N31.7857,E035.2007
Johannesburg,South Africa,S26.2044,E028.0456
Kabul,Afghanistan,N34.5155,E069.1952
Kampala,Uganda,N00.3133,E032.5714
Kathmandu,Nepal,N27.7058,E085.3157
Kigali,Rwanda,S01.9441,E030.0619
Kingston,Jamaica,N17.9927,W076.7920
Kinshasa,Democratic Republic of Congo,S04.3369,E015.3271
Kuala Lumpur,Malaysia,N03.1502,E101.7077
Kunming,China,N25.04,E102.41
Kuwait City,Kuwait,N29.3721,E047.9824
Kyiv,Ukraine,N50.4422,E030.5367
La Paz,Bolivia,-16.500,-68.150
La Rinconada,Peru,S14.6312,W69.4464
Laayoune / El Aaiun,Western Sahara (MA),N27.1536,W013.2033
Lhasa,China,N29.3900,E091.0700
Libreville,Gabon,N00.3858,E009.4496
Lilongwe,Malawi,S13.9899,E033.7703
Lima,Peru,S12.0931,W077.0465
Lisbon,Portugal,N38.7072,W009.1355
Ljubljana,Slovenia,N46.0514,E014.5060
Lome,Togo,N06.1228,E001.2255
London,United Kingdom,N51.5002,W000.1262
Luanda,Angola,S08.8159,E013.2306
Lusaka,Zambia,S15.4145,E028.2809
Madrid,Spain,N40.4167,W003.7033
Managua,Nicaragua,N12.1475,W086.2734
Manila,Philippines,N14.5790,E120.9726
Maputo,Mozambique,S25.9686,E032.5804
Maseru,Lesotho,S29.2976,E027.4854
Masqat,Oman,N23.6086,E058.5922
Melbourne,Australia,S37.8139,E144.9634
Mendoza,Argentina,S32.8873,W068.8401
Mexico City,Mexico,N19.4271,W099.1276
Milan,Italy,N45.4625,E9.186389
Minsk,Belarus,N53.9678,E027.5766
Monrovia,Liberia,N06.3106,W010.8047
Montevideo,Uruguay,S34.8941,W056.0675
Moscow,Russia,N55.7558,E037.6176
Muqdisho / Mogadishu,Somalia,N02.0411,E045.3426
N'Djamena,Chad,N12.1121,E015.0355
Nairobi,Kenya,S01.2762,E036.7965
Nassau (on New Providence),Bahamas,N25.0661,W077.3390
New Delhi,India,N28.6353,E077.2250
Niamey,Niger,N13.5164,E002.1157
Nouakchott,Mauritania,N18.0669,W015.9900
Oslo,Norway,N59.9138,E010.7387
Ottawa,Canada,N45.25,W075.41
Ouagadougou,Burkina Faso,N12.3569,W001.5352
Panama City,Panama,N08.9943,W079.5188
Paramaribo,Suriname,N05.8232,W055.1679
Paris,France,N48.8567,E002.3510
Pavlodar,Kazakhstan,N52.3000,E76.950000
Perth,Australia,S31.9522,E115.8614
Phnom Penh,Cambodia,N11.5434,E104.8984
Podgorica,Montenegro,N42.4602,E019.2595
Pokhara,Nepal,N28.2096,E83.9856
Port Louis,Mauritius,S20.1654,E057.4896
Port Moresby,Papua New Guinea,S09.4656,E147.1969
Port-au-Prince,Haiti,N18.5392,W072.3288
Porto-Novo,Benin,N06.4779,E002.6323
Prague,Czech Republic,N50.0878,E014.4205
Pretoria,South Africa,S25.746111,E028.188056
Pristina,Kosovo,N42.6740,E021.1788
Pune,India,N18.5167,E73.8562
Puno,Peru,S13.5036,W070.0126
Pyinmana,Burma (Myanmar),N19.7378,E096.2083
Pyongyang,North Korea,N39.0187,E125.7468
Quito,Ecuador,S00.2295,W078.5243
Rabat,Morocco,N33.9905,W006.8704
Riga,Latvia,N56.9465,E024.1049
Riyadh,Saudi Arabia,N24.6748,E046.6977
Rome,Italy,N41.8955,E012.4823
San Jose,Costa Rica,N09.9402,W084.1002
San Juan,Argentina,"S31,5373",W068.5251
San Salvador,El Salvador,N13.7034,W089.2073
Sana'a,Yemen,N15.3556,E044.2081
Santiago,Chile,S33.4691,W070.6420
Santo Domingo,Dominican Republic,N18.4790,W069.8908
Sarajevo,Bosnia and Herzegovina,N43.8608,E018.4214
Seoul,South Korea,N37.5139,E126.9828
Shanghai,China,N31.2304,E121.4737
Shiraz,Iran,N29.61031,E052.53113
Singapore,Singapore,N01.2894,E103.8500
Skardu,Pakistan,N35.1725,E075.3840
Skopje,North Macedonia,N42.0024,E021.4361
Sofia,Bulgaria,N42.7105,E023.3238
Srinagar,India,N34.0837,E074.7973
Stockholm,Sweden,N59.3328,E018.0645
Sydney,Australia,S33.8614,E141.2054
SÃ£o Paulo,Brazil,S23.5505,W46.6333
SÃ£o TomÃ©,SÃ£o TomÃ© and PrÃ­ncipe,N00.3360,E006.7311
Taipei,Taiwan,N25.0338,E121.5645
Tallinn,Estonia,N59.4389,E024.7545
Tashkent,Uzbekistan,N41.3193,E069.2481
Tbilisi,Georgia,N41.7010,E044.7930
Tegucigalpa,Honduras,N14.0821,W087.2063
Tehran,Iran,N35.7117,E051.4070
Thimphu,Bhutan,N27.4660,E089.6419
Tirana,Albania,N41.3317,E019.8172
Tokyo,Japan,N35.6785,E139.6823
Toluca,Mexico,N19.2925,W099.6569
Tripoli,Libya,N32.8830,E013.1897
Tunis,Tunisia,N36.8117,E010.1761
Ulan Bator,Mongolia,N47.9138,E106.9220
Vienna,Austria,N48.2092,E016.3728
Vientiane,Laos,N17.9689,E102.6137
Vilnius,Lithuania,N54.6896,E025.2799
Visakhapatnam,India,N17.7041,E83.2977
Warsaw,Poland,N52.2297,E021.0122
Washington D.C.,United States,N38.8921,W077.0241
Wellington,New Zealand,S41.2865,E174.7762
Windhoek,Namibia,S22.5749,E017.0805
Yamoussoukro,CÃ´te d'Ivoire,N06.8067,W005.2728
YaoundÃ©,Cameroon,N03.8612,E011.5217
Yerevan,Armenia,N40.1596,E044.5090
Zagreb,Croatia,N45.8150,E015.9785
