,State,Post_Full_Name,Google_Map_Url
4,France,U.S. Consulate Lyon,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2783.4067915093624!2d4.835273451230727!3d45.76303722137151!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47f4ea57cd27a437%3A0x31e67c9578df412f!2s2%20Rue%20du%20Pr%C3%A9sident%20Carnot%2C%2069002%20Lyon%2C%20France!5e0!3m2!1sen!2sus!4v1648821811101!5m2!1sen!2sus
5,France,U.S. Consulate General Marseille,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d23233.83485849988!2d5.364160330718974!3d43.288518314649394!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x12c9c0ba71ecf6c1%3A0xca7334aa4ad8f62a!2sConsulat+des+Etats+Unis+d'Am%C3%A9rique!5e0!3m2!1sen!2sus!4v1454189558129
6,France,U.S. Consulate Rennes,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d10655.998697518402!2d-1.684267!3d48.110242!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xe27417906ce149ea!2sConsulat+des+Etats-Unis+d'Am%C3%A9rique!5e0!3m2!1sen!2sus!4v1455889725954
7,France,U.S. Consulate General Strasbourg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2639.1950657369903!2d7.7593509151874125!3d48.58696377926187!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4796c857de6bd1dd%3A0xd399e48c3c0ebcba!2sConsulat+G%C3%A9n%C3%A9ral+des+Etats+Unis!5e0!3m2!1sen!2sus!4v1454189721248
8,France,,
0,Gabon,U.S. Embassy in Libreville,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3989.676422260765!2d9.392872314599318!3d0.48322636388167084!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x107f25a0d2ad296d%3A0xc52aa337ce24c469!2sEducationUSA+Advising+Center!5e0!3m2!1sen!2sus!4v1475064859167
1,Georgia,U.S. Embassy Tbilisi,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2974.8134689179838!2d44.773192550622554!3d41.78923347912738!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x40446ddb836fcdf9%3A0xeb5a2609795ba197!2sUSA+Embassy!5e0!3m2!1sen!2sus!4v1475874168819
2,Germany,U.S. Embassy in Berlin,
3,Germany,U.S. Consulate General in Düsseldorf,
4,Germany,U.S. Consulate General in Frankfurt,
5,Germany,U.S. Consulate General in Hamburg,
6,Germany,U.S. Consulate General in Leipzig,
7,Germany,U.S. Consulate General in Munich,
0,Ghana,U.S. Embassy in Accra,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d12902.10274085407!2d-0.17835773036791813!3d5.575553206061542!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xfdf9a95b12e501b%3A0x14168836e2e3552e!2sEmbassy+of+the+United+States+of+America!5e0!3m2!1sen!2sus!4v1469413957820
1,Greece,U.S. Embassy in Athens,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d12579.158376983605!2d23.74669424133668!3d37.982039334998994!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x6bb46e886cbf3380!2sU.S.+Embassy+Athens!5e0!3m2!1sen!2sus!4v1479227681625
2,Greece,U.S. Consulate in Thessaloniki,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3027.8471968218955!2d22.940211115308642!3d40.633251679340525!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x14a83907cfddc551%3A0xe7579c2a3365e6d0!2sTsimiski+43%2C+Thessaloniki+546+23%2C+Greece!5e0!3m2!1sen!2sus!4v1482395086024
5,Guatemala,U.S. Embassy in Guatemala City,
0,Guinea-Bissau,U.S. Virtual Consulate in Guinea-Bissau,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d61746.229747067315!2d-17.516996741291123!3d14.704710009473104!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x7ebddd12042db46d!2sEmbassy+of+the+United+States+of+America!5e0!3m2!1sen!2sus!4v1475103834952
1,Guyana,U.S. Embassy in Georgetown,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3961.561356236583!2d-58.16315469996067!3d6.823080095044522!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8dafef13d9b2d547%3A0x24dd3e0fe0fec1c9!2sUS+Embassy%2C+Georgetown%2C+Guyana!5e0!3m2!1sen!2sus!4v1462540051104
2,Guinea,U.S. Embassy Conakry,
0,Haiti,U.S. Embassy in Port-au-Prince,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3782.218100018043!2d-72.25316678538026!3d18.564203472684127!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0000000000000000%3A0x19bca85135ec2902!2sU.S.+Embassy+in+Port-au-Prince!5e0!3m2!1sen!2sus!4v1462308323782
1,Honduras,U.S. Embassy Tegucigalpa,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3869.5609067756495!2d-87.19214498442403!3d14.103078392854044!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8f6fa2dc58aeca5b%3A0x80d68c99c099658e!2sEmbajada+Americana+Tegucigalpa!5e0!3m2!1sen!2sus!4v1469125851567
3,Holy See,U.S. Embassy to the Holy See,
0,Hong Kong and Macau,U.S. Consulate General in Hong Kong,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d14767.072287263398!2d114.1414502758681!3d22.28677373594902!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x34040065777c7713%3A0xb101ba116e5f7dfc!2sConsulate+General+of+The+Unites+States+Of+America!5e0!3m2!1sen!2sus!4v1475496991909
1,Hungary,U.S. Embassy in Budapest,//www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2695.2524308288503!2d19.049127950848646!3d47.50447497907593!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4741dc1381f4e54d%3A0xf9936d99b698e7d0!2zQW1lcmlrYWkgRWd5ZXPDvGx0IMOBbGxhbW9rIE5hZ3lrw7Z2ZXRzw6lnZQ!5e0!3m2!1sen!2sus!4v1475874788585
2,Iceland,U.S. Embassy in Reykjavik,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1739.9649529207122!2d-21.940093284008785!3d64.14460802302551!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x48d60b328d0c74b7%3A0x6cf2ed69a01c82d2!2sLauf%C3%A1svegur+21%2C+101+Reykjav%C3%ADk%2C+Iceland!5e0!3m2!1sen!2sus!4v1463776501186
0,India,U.S. Embassy in New Delhi,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3503.234080206497!2d77.18614975035345!3d28.59275369254548!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390d1d66b17dc5e3%3A0xdf675dfdbf9d22!2sShantipath%2C+Chanakyapuri%2C+New+Delhi%2C+Delhi+110021%2C+India!5e0!3m2!1sen!2sus!4v1456786143489
1,India,U.S. Consulate General in Chennai,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3886.73772900641!2d80.24973505012338!3d13.052359116588155!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a5266472c0d22b9%3A0x34ebeb4dc0ed9198!2sUS+Consulate%2C+Chennai!5e0!3m2!1sen!2sus!4v1456786314448
2,India,U.S. Consulate General in Hyderabad,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3806.3589870904734!2d78.47482025016731!3d17.442523805745555!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bcb9a29e716b4ef%3A0xff6826c1dbac12f!2sUSIEF!5e0!3m2!1sen!2sus!4v1456786482834
3,India,U.S. Consulate General in Kolkata,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3684.7509341241707!2d88.3473489502395!3d22.551000939374266!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a027711c2e88bdf%3A0x347a3f3e7532106f!2s38%2C+Jawaharlal+Nehru+Rd%2C+Park+Street+area%2C+Kolkata%2C+West+Bengal+700071%2C+India!5e0!3m2!1sen!2sus!4v1456786780733
4,India,U.S. Consulate General in Mumbai,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3770.9705009851723!2d72.8661483501878!3d19.065034557208715!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3be7cdd8ba12301b%3A0x821788f8f3f7e720!2sUS+Consulate+General!5e0!3m2!1sen!2sus!4v1456786934264
5,Indonesia,U.S. Embassy Jakarta,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3966.6225528555137!2d106.82799831517752!3d-6.181246662288807!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e69f432025f7039%3A0x80a5e96fe731872d!2sJl.+Medan+Merdeka+Sel.+No.5%2C+Gambir%2C+Kota+Jakarta+Pusat%2C+Daerah+Khusus+Ibukota+Jakarta+10110%2C+Indonesia!5e0!3m2!1sen!2sus!4v1456519009188
6,Indonesia,U.S. Consulate General Surabaya,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3957.622518712609!2d112.64595001518664!3d-7.283718773607407!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2dd7fdc312ce2963%3A0x712778b458a07bf5!2sConsulate+General+Of+The+United+States!5e0!3m2!1sen!2sus!4v1456519338532
7,Indonesia,U.S. Consulate Medan,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3954.642868980395!2d111.89607071518955!3d-7.613783077380901!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e784b0ca5d0fa4b%3A0x44e4b7164d8ad63a!2sJl.+Letnan+Jenderal+Mt+Haryono+No.1%2C+Kec.+Nganjuk%2C+Kabupaten+Nganjuk%2C+Jawa+Timur+64417%2C+Indonesia!5e0!3m2!1sen!2sus!4v1456519500560
8,Indonesia,U.S. Consular Agency Bali,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3944.196718594594!2d115.24215101438658!3d-8.672833990682461!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2dd2405c70fbcbb5%3A0x52b391365c726eb4!2sConsular+Agency+of+The+United+States+of+America%2C+Jl.+Hayam+Wuruk+No.188%2C+Sumerta%2C+Denpasar+Tim.%2C+Kota+DenpasarDenpasar+Sel.%2C+Bali%2C+Indonesia!5e0!3m2!1sen!2sus!4v1462859494106
11,InfoCentral Login Request & Instructions,,
0,Iran,U.S. Embassy in Tehran,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3237.1574577200663!2d51.46297835054143!3d35.77150833252614!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3f8e0466ff9b12f9%3A0x9e2c252dca97eb21!2sEmbassy+of+Switzerland+-+Foreign+Interests+Section!5e0!3m2!1sen!2sus!4v1464796282278
1,Iraq,U.S. Embassy in Baghdad,
2,Iraq,U.S. Consulate General in Basrah,
3,Iraq,U.S. Consulate General in Erbil,
6,Ireland,U.S. Embassy in Dublin,
0,Israel,U.S. Embassy Jerusalem,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3392.8153880563323!2d35.22292081605138!3d31.748239681294894!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x15032819e8814d87%3A0x5feb3e3d4c9dc588!2s14+David+Flusser+St%2C+Jerusalem!5e0!3m2!1sen!2sus!4v1526306351035
1,Italy,U.S. Embassy Rome,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2969.3615533808083!2d12.488580514690454!3d41.90658577161134!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f61a9f1634c61%3A0x5e328ae81816d51e!2sAmbasciata+U.S.A.!5e0!3m2!1sen!2sus!4v1454334437862
2,Italy,U.S. Consulate General Florence,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2880.9616282514694!2d11.238509414763548!3d43.77365535265248!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132a56b202c28dcd%3A0xabb9999856e3b31c!2sConsulate+of+the+United+States+Of+America!5e0!3m2!1sen!2sus!4v1454334542233
3,Italy,U.S. Consulate General Milan,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2797.737034213619!2d9.191923814832595!3d45.47510094073826!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4786c6b66ef8966d%3A0xe8921a8e7e918da9!2sU.S.+Consulate+General+Milan!5e0!3m2!1sen!2sus!4v1454334608114
4,Italy,U.S. Consulate General in Naples,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3018.853481675517!2d14.223740714649724!3d40.83118183825395!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x133b091c85ba3a4b%3A0x638359d668c68da5!2sConsolato+Stati+Uniti+D'America!5e0!3m2!1sen!2sus!4v1454334692913
5,Jamaica,U.S. Embassy in Kingston,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3794.1453049686643!2d-76.76704555003995!3d18.01845898764298!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8edb3ee25aecc08d%3A0xc7dc2562bdcb1b32!2sEmbassy+of+the+United+States!5e0!3m2!1sen!2sus!4v1462276096448
0,Jordan,U.S. Embassy in Amman,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3385.579059032746!2d35.87836691444528!3d31.945183933239388!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x151ca0e5ced0e65f%3A0xf6ede3381c5e81ec!2sEmbassy+of+the+United+States!5e0!3m2!1sen!2sus!4v1449686602406
1,Kazakhstan,U.S. Embassy in Astana,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2503.8636218312768!2d71.46579625065156!3d51.1294235459901!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x424583fb708839c1%3A0x483c011db261221d!2sThe+U.S.+Embassy!5e0!3m2!1sen!2sus!4v1451935852302
2,Kazakhstan,U.S. Consulate General Almaty,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2906.8483547513215!2d76.95201335031406!3d43.233638987376175!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38836f02a104395f%3A0xdea63eb6f1c50d6b!2sUS+Consulate+Office!5e0!3m2!1sen!2sus!4v1451935939751
3,Japan,U.S. Embassy in Tokyo,
0,Kosovo,U.S. Embassy in Pristina,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d11735.879268853387!2d21.150551!3d42.661995!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x25287c09b1e46f2d!2sU.S.+Embassy+Pristina%2C+Kosovo!5e0!3m2!1sen!2sus!4v1475875179764
1,Kuwait,U.S. Embassy Kuwait City,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d222699.770122246!2d48.046873!3d29.291608!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x3e39283b10b16eaa!2sEmbassy+of+the+United+States+of+America!5e0!3m2!1sen!2sus!4v1476158667690
2,Kenya,U.S. Embassy Nairobi,
0,Kyrgyz Republic,U.S. Embassy in Bishkek,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d93636.29887536411!2d74.582561!3d42.827776!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x321ac7432b7a8629!2sU.+S.+Embassy!5e0!3m2!1sen!2sus!4v1476159510572
1,Laos,U.S. Embassy Vientiane,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d60736.463099562345!2d102.5908137666463!3d17.930803913316023!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0000000000000000%3A0x75deac3e9977168e!2sU.S.+Embassy!5e0!3m2!1sen!2sus!4v1459371155970
2,Latvia,U.S. Embassy in Riga,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2177.068249245095!2d24.02705041558279!3d56.93049718088476!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x46eed074186f5ba5%3A0x2ed98988cb69acfb!2sUnited+States+Embassy+in+Riga!5e0!3m2!1sen!2sus!4v1454076297918
0,Lebanon,U.S. Embassy in Beirut,
1,Liberia,U.S. Embassy in Monrovia,//www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3965.59766574476!2d-10.81559835039078!3d6.316462995406253!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xf09f792cf614f0f%3A0x7cc5d629fa33b032!2sEmbassy+of+the+United+States!5e0!3m2!1sen!2sus!4v1453841869568
3,Lesotho,U.S. Embassy in Maseru,
0,Lithuania,U.S. Embassy in Vilnius,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d23249.60194235349!2d25.248973383902904!3d54.68340487076181!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x46dd940dc9c0d337%3A0x9c1ac18161d9082e!2sJungtini%C5%B3+Amerikos+Valstij%C5%B3+ambasada%2FU.S.+Embassy+Vilnius!5e0!3m2!1sen!2sus!4v1469504001855
1,Libya,U.S. Embassy in Tripoli,
3,Luxembourg,U.S. Embassy in Luxembourg,
0,Madagascar,U.S. Embassy in Antananarivo,
1,Malawi,U.S. Embassy in Lilongwe,
2,Malaysia,U.S. Embassy in Kuala Lumpur,
0,Maldives,U.S. Virtual Mission in Maldives,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d63372.96992662317!2d79.848618!3d6.913233!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xc563c8145c151f9b!2sEmbassy+of+United+States!5e0!3m2!1sen!2sus!4v1475264928974
1,Mali,U.S. Embassy in Bamako,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3893.276621693821!2d-8.021094985993539!3d12.629849291080781!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xe51cc5b7c0cdd15%3A0x4c8ee6c7a9c40c8!2sEmbassy+of+the+United+States+of+America!5e0!3m2!1sen!2sus!4v1448925754195
2,Malta,U.S. Embassy Valletta,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3232.3004213871072!2d14.424656115526965!3d35.89065722606469!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x130e5acd81ae473b%3A0x2cf6d5a522cbaaf6!2sUS+Embassy!5e0!3m2!1sen!2sus!4v1468564598850
0,Marshall Islands,U.S. Embassy Majuro,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2028853.9574054389!2d170.5419396139032!3d6.695698897670837!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x650f18557b97e0fd%3A0xdafa9c8545b7d939!2sMajuro!5e0!3m2!1sen!2sus!4v1459219615140
1,Mauritania,U.S. Embassy in Nouakchott,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d30341.293531341562!2d-15.992307828442954!3d18.087209723782!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xe964d7cde6638e7%3A0x71e0758508295592!2sEmbassy+of+the+United+States+of+America!5e0!3m2!1sen!2sus!4v1472707084585
2,Mauritius,U.S. Embassy in Port Louis,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3745.32976811245!2d57.49828105022801!3d-20.161990586407807!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x217c50534bb17c85%3A0xccd0855ed25e1177!2sEmbassy+of+the+United+States+of+America!5e0!3m2!1sen!2sus!4v1475103077489
0,Mexico,U.S. Embassy in Mexico City,
1,Mexico,U.S. Consulate General in Ciudad Juarez,
2,Mexico,U.S. Consulate General in Guadalajar,
3,Mexico,U.S. Consulate General in Hermosillo,
4,Mexico,U.S. Consulate General in Matamoros,
5,Mexico,U.S. Consulate General in Merida,
6,Mexico,U.S. Consulate General in Monterrey,
7,Mexico,U.S. Consulate General in Nogales,
8,Mexico,U.S. Consulate General in Nuevo Laredo,
9,Mexico,U.S. Consulate General in Tijuana,
10,Moldova,U.S. Embassy in Chisinau,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d10879.813338610664!2d28.818999!3d47.021521!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x58cdc97919d7c8c!2sEmbassy+of+the+United+States+of+America!5e0!3m2!1sen!2sus!4v1476151236522
12,Micronesia,U.S. Embassy in Kolonia,
0,Mongolia,U.S. Embassy in Ulaanbaatar,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d10693.686410353328!2d106.930189!3d47.928228!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xf0d93c62c4fde11!2sThe+U.S.+Embassy+in+Mongolia!5e0!3m2!1sen!2sus!4v1476491555617
1,Montenegro,U.S. Embassy in Podgorica,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2944.572642259176!2d19.24739101507193!3d42.43683063824326!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x134deb3c9d65ebfd%3A0x7bb72b0c8ac9a908!2sEmbassy+of+the+United+States!5e0!3m2!1sen!2sus!4v1476151428625
2,Morocco,U.S. Embassy Rabat,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d211803.47942080794!2d-6.824677!3d33.955802!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x67164baa4a3f9a30!2sU.S.+Embassy!5e0!3m2!1sen!2sus!4v1476158903631
3,Morocco,U.S. Consulate General Casablanca,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d13294.229787943359!2d-7.626588!3d33.590838!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x53c683fd533a8796!2sConsulate+of+the+United+States+of+America!5e0!3m2!1sen!2sus!4v1476159011493
0,Namibia,U.S. Embassy Windhoek,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3684.0932601368763!2d17.08486131483526!3d-22.57561503181287!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x1c0b1b3986415789%3A0xa11adc5c03dced4e!2sAmerica+Embassy!5e0!3m2!1sen!2sus!4v1463690671787
1,Mozambique,U.S. Embassy Maputo,
3,Nepal,U.S. Embassy in Kathmandu,
0,Netherlands,U.S. Embassy The Hague,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d9803.70209269782!2d4.345574!3d52.099287!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47c5b77712df5ec9%3A0xe3f848fe6ce34d15!2sJohn+Adamspark+1%2C+2244+BP+Wassenaar!5e0!3m2!1sen!2snl!4v1525266884688
1,Netherlands,U.S. Consulate General Amsterdam,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d9747.140795952542!2d4.882063!3d52.356181!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47c609f02f3410cb%3A0x9415ace9b83ce2f3!2sMuseumplein+19%2C+1071+DJ+Amsterdam%2C+Netherlands!5e0!3m2!1sen!2sus!4v1476151137746
3,New Zealand,United States Embassy Wellington,
4,Nicaragua,U.S. Embassy Managua,
0,Niger,U.S. Embassy Niamey,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3879.1505645761217!2d2.070800850759912!3d13.526350006074725!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x11d075fb099aafe5%3A0x30f1f35bec61f0f3!2sEmbassy+of+the+United+States!5e0!3m2!1sen!2sus!4v1503587774385
1,North Macedonia,U.S. Embassy in Skopje,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d94881.60892615833!2d21.354850713788924!3d41.99919648679228!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x135415a58c9aa2a5%3A0xb2ed88c260872020!2sSkopje%2C+Macedonia+(FYROM)!5e0!3m2!1sen!2sus!4v1477953881260
3,Nigeria,U.S. Embassy Abuja,
0,Oman,U.S. Embassy in Muscat,"https://www.google.com/maps/place/Jamiat+Al+Duwal+Al+Arabiah+St,+Muscat,+Oman/@23.604387,58.43291,14z/data=!4m5!3m4!1s0x3e91ff6cc6c5cdb9:0x20b20d3109a6c563!8m2!3d23.6043871!4d58.4329102"
1,Oman,U.S. Embassy in Islamabad,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3318.421174639717!2d73.1158063143739!3d33.72392364240929!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38dfc05b8e5552a1%3A0x1d2ee714d236ce12!2sEmbassy+of+the+United+States+of+America!5e0!3m2!1sen!2sus!4v1456831806669
